,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,price,course_length_weeks,min_effort,max_effort
113,El valor de la creatividad y la innovación: La Economía Naranja,"23,728",Self-paced on your time,Inter-American Development Bank,Marina Casciano-Micaela Cordero-Helga Flores Trejo-Matteo Grazzi,Introductory,Art & Culture,Español,Español,25.0,8,2,4
114,Humanitarian Response to Conflict and Disaster,"119,891",Self-paced on your time,Harvard University,Jennifer Leaning-Michael VanRooyen,Introductory,Health & Safety,English,English,99.0,5,3,4
115,"Women Making History: Ten Objects, Many Stories","38,939",Self-paced on your time,Harvard University,Laurel Thatcher Ulrich-Jane Kamensky,Introductory,History,English,English,99.0,8,2,3
116,Masterpieces of World Literature,"88,789",Self-paced on your time,Harvard University,David Damrosch-Martin Puchner,Introductory,Literature,English,English,149.0,12,5,7
117,SQL for Data Science,"39,184",Self-paced on your time,IBM,Rav Ahuja,Introductory,Data Analysis & Statistics,English,English,39.0,4,2,4
118,El cerebro y las emociones en el lenguaje,"41,279",Self-paced on your time,Universidad del Rosario,Ángela Martínez Rodríguez-Janeth Hernández Jaramillo,Introductory,Communication,Español,Español,49.0,5,4,5
119,Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),"62,673",Self-paced on your time,Harvard University,Michael Brenner-David Weitz-Pia Sörensen,Introductory,Physics,English,English,169.0,16,2,3
120,Python: aprender a programar,"21,613",Self-paced on your time,Universitat Politècnica de Valencia,Leonardo Salom Muñoz,Introductory,Computer Science,Español,Español,49.0,8,3,4
121,Marketing Analytics: Competitive Analysis and Market Segmentation,"70,682",Self-paced on your time,"University of California, Berkeley",Stephan Sorger,Intermediate,Computer Science,English,English,249.0,4,5,7
122,MalariaX: Defeating Malaria from the Genes to the Globe,"37,598",Self-paced on your time,Harvard University,Marcia Castro-Flaminia Catteruccia-Michael R. Reich-Marcel Tanner,Intermediate,Biology & Life Sciences,English,"English, Français",49.0,8,3,5
123,Entrepreneurship in Emerging Economies,"113,602",Self-paced on your time,Harvard University,Tarun Khanna,Introductory,Business & Management,English,English,125.0,6,3,5
124,JavaScript Introduction,"160,112",Self-paced on your time,The World Wide Web Consortium (W3C),Michel Buffa,Introductory,Computer Science,English,English,199.0,5,6,8
125,People Management,"113,592",Self-paced on your time,Indian Institute of Management Bangalore,Vasanthi Srinivasan,Introductory,Business & Management,English,"English, हिन्दी",150.0,6,2,4
126,Using Email for Networking in English,"57,208",Self-paced on your time,University of Washington,Daphne Mackey-Richard Moore,Introductory,Language,English,English,149.0,4,3,5
127,Databases: Relational Databases and SQL,"20,502",Self-paced on your time,Stanford University,Jennifer Widom,Introductory,Computer Science,English,English,50.0,2,8,10
128,C Programming: Getting Started,"104,108",Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Petra Bonfert-Taylor-Rémi Sharrock,Introductory,Computer Science,English,English,49.0,7,2,4
129,Supply Chain Analytics,"145,049",Instructor-led on a course schedule,Massachusetts Institute of Technology,Chris Caplice,Introductory,Business & Management,English,English,199.0,15,8,12
130,Programming for the Web with JavaScript,"91,406",Self-paced on your time,University of Pennsylvania,Chris Murphy-Swapneel Sheth,Intermediate,Computer Science,English,English,149.0,4,6,8
131,Introduction to Digital Humanities,"37,501",Self-paced on your time,Harvard University,Peter K. Bol,Introductory,Humanities,English,English,99.0,7,2,4
132,Upper-Intermediate English: Business and Industry,"103,704",Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno,Intermediate,Language,English,English,50.0,4,3,5
133,EmSAT English Preparation - Level 1,"29,101",Self-paced on your time,United Arab Emirates University,Derek Justin Brown,Introductory,Language,English,English,49.0,6,2,3
134,Python for Data Science,"266,978",Self-paced on your time,"The University of California, San Diego",Ilkay Altintas-Leo Porter,Advanced,Data Analysis & Statistics,English,English,350.0,10,8,10
135,Empathy and Emotional Intelligence at Work,"45,867",Self-paced on your time,"University of California, Berkeley",Dacher Keltner-Emiliana Simon-Thomas,Introductory,Business & Management,English,English,199.0,4,1,2
136,Design Thinking and Creativity for Innovation,"47,549",Self-paced on your time,The University of Queensland,Tim Kastelle,Intermediate,Business & Management,English,English,5.0,10,8,10
137,China and Communism,"69,104",Self-paced on your time,Harvard University,Peter K. Bol-William C. Kirby,Introductory,History,English,"English, 中文",139.0,15,1,3
138,Mandarin Chinese Level 1,"56,040",Self-paced on your time,MandarinX,Estella Chen,Introductory,Language,English,English,149.0,6,4,10
139,Introduction to Biology - The Secret of Life,"147,512",Instructor-led on a course schedule,Massachusetts Institute of Technology,Eric S. Lander-Michelle Mischke-Graham Walker-Brian White,Introductory,Biology & Life Sciences,English,"English, 中文",150.0,16,5,10
140,Photoshop: una herramienta para presentaciones innovadoras,"22,969",Self-paced on your time,Pontificia Universidad Javeriana,Juan Carlos Alonso Rico,Introductory,Art & Culture,Español,Español,19.0,5,8,10
141,Causal Diagrams: Draw Your Assumptions Before Your Conclusions,"50,949",Self-paced on your time,Harvard University,Miguel Hernán,Introductory,Data Analysis & Statistics,English,English,99.0,9,2,3
142,生活英语听说 | Conversational English Skills,"301,585",Self-paced on your time,Tsinghua University,Wenxia Zhang-Fang Yang-Glenn M. Davis-Thomas H. Piachaud,Introductory,Communication,English,English,49.0,10,2,4
143,Shakespeare’s Othello: The Moor,"31,868",Self-paced on your time,Harvard University,Stephen Greenblatt-Bailey Sincox,Introductory,Humanities,English,English,49.0,4,5,7
144,Basic Spanish 2: One Step Further,"67,687",Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno-Virginia González-Cristina Navarro-Begoña García Migura,Introductory,Language,English,"English, Español",50.0,4,4,5
145,Financial Market Analysis,"37,452",Self-paced on your time,The International Monetary Fund,Adolfo Barajas-Evan Tanner-Seung Mo Choi-Fabio Comelli,Intermediate,Economics & Finance,English,English,25.0,7,8,10
146,CS50's Computer Science for Business Professionals,"73,208",Self-paced on your time,Harvard University,David J. Malan,Introductory,Computer Science,English,English,90.0,6,2,6
147,Gobierno Digital,"18,883",Self-paced on your time,Inter-American Development Bank,Lea Giménez-Miguel Porrúa-Benjamin Roseth-Alejandro Pareja,Introductory,Social Sciences,Español,Español,25.0,8,1,2
148,Upper-Intermediate English: Business and Globalization,"58,532",Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno,Intermediate,Language,English,English,50.0,4,3,5
149,The Opioid Crisis in America,"54,805",Self-paced on your time,Harvard University,"Gregory Curfman, MD-Catherine Finn, MSW, LCSW",Introductory,Medicine,English,English,99.0,10,1,2
150,Gestión de Proyectos de Desarrollo,"306,286",Self-paced on your time,Inter-American Development Bank,Ernesto Mondelo-Claudia Baca,Introductory,Business & Management,Español,Español,49.0,10,3,4
151,Statistical Learning,"27,968",Self-paced on your time,Stanford University,Trevor Hastie-Robert Tibshirani,Introductory,Data Analysis & Statistics,English,English,50.0,9,3,5
152,Introduction to Social Psychology,"79,365",Self-paced on your time,The University of Queensland,Blake McKimmie-Roy Baumeister,Introductory,Humanities,English,English,99.0,7,1,2
153,Artificial Intelligence (AI),"265,104",Instructor-led on a course schedule,Columbia University,Ansaf Salleb-Aouissi,Advanced,Computer Science,English,English,249.0,12,8,10
154,American Government: Constitutional Foundations,"35,504",Self-paced on your time,Harvard University,Thomas E. Patterson,Introductory,Social Sciences,English,English,49.0,4,2,4
155,Introducción a la inversión bursátil,"64,261",Self-paced on your time,Universitat Politècnica de Valencia,Francisco Guijarro Martínez-Fernando García García-Javier Oliver Muncharaz,Introductory,Economics & Finance,Español,Español,50.0,2,3,4
156,Japanese Books: From Manuscript to Print,"17,581",Self-paced on your time,Harvard University,Melissa McCormick,Introductory,Art & Culture,English,English,100.0,9,1,2
157,Foundations of Modern Finance  I,"24,108",Instructor-led on a course schedule,Massachusetts Institute of Technology,Leonid Kogan-Jiang Wang-Egor Matveyev,Advanced,Economics & Finance,English,English,450.0,12,10,14
158,Operations Management,"126,093",Self-paced on your time,Indian Institute of Management Bangalore,B. Mahadevan,Intermediate,Business & Management,English,"English, हिन्दी",150.0,7,2,4
159,Marketing Management,"80,010",Self-paced on your time,Indian Institute of Management Bangalore,Ashis Mishra,Intermediate,Business & Management,English,"English, हिन्दी",150.0,9,2,4
160,Marketing enfocado en la estrategia de servicios,"24,618",Self-paced on your time,Universidad Nacional de Córdoba,Gerardo Heckmann,Introductory,Business & Management,Español,"English, Español",119.0,6,5,7
