,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,price,course_length_weeks,min_effort,max_effort
405,Basic Analytical Chemistry,"19,010",Self-paced on your time,The University of Tokyo,Takeaki Ozawa-Liang-da Chiu,Introductory,Chemistry,English,English,49.0,6,3,4
406,Identifying Entrepreneurial Opportunities,"11,922",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",James Green,Introductory,Business & Management,English,English,149.0,4,2,3
407,"ChinaX Book Club: Five Authors, Five Books, Five Views of China","5,855",Self-paced on your time,Harvard University,David Wang,Introductory,Literature,English,English,139.0,5,1,2
408,Astrophysics: Cosmology,"83,322",Self-paced on your time,Australian National University,Brian Schmidt-Paul Francis,Intermediate,Physics,English,English,50.0,10,2,4
409,Japanese Culture and Language (I) |日语与日本文化（1）,"18,489",Self-paced on your time,Tsinghua University,Feng Feng-Gao Yang-Miyazaki Izumi,Introductory,Art & Culture,中文,"日本語, 中文",139.0,10,3,5
410,COVID-19 Training for Healthcare Workers,"5,742",Self-paced on your time,Stanford University,Matthew Strehlow-S.V. Mahadevan,Introductory,Medicine,English,English,10.0,2,1,10
411,The Rise of Superheroes and Their Impact On Pop Culture,"31,368",Self-paced on your time,The Smithsonian Institution,Stan Lee-Michael Uslan-David Uslan-Christopher Robichaud,Introductory,Humanities,English,English,50.0,6,1,2
412,Introduction to Aeronautical Engineering,"99,971",Self-paced on your time,Delft University of Technology,Jacco M. Hoekstra-Jos Sinke-Mark Voskuijl-Nando Timmer,Introductory,Engineering,English,English,50.0,7,10,12
413,Diseño de Jardines,"5,683",Self-paced on your time,Universidad Nacional de Córdoba,Patricia Gil-Paola Campitelli-Laura Vargas-Melisa Marinsaldi,Introductory,Biology & Life Sciences,Español,Español,29.0,4,1,2
414,"Introducción al griego clásico: lengua, nombres y mitología","18,849",Self-paced on your time,Universidad Autónoma de Madrid,Helena González-Vaquerizo-Araceli Striano Corrochano-Raquel Fornieles Sánchez,Introductory,Language,Español,Español,49.0,5,4,5
415,Deep Learning Fundamentals with Keras,"32,140",Self-paced on your time,IBM,Alex Aklson,Intermediate,Data Analysis & Statistics,English,English,99.0,5,2,4
416,Existential Well-being Counseling: A Person-centered Experiential Approach,"48,439",Self-paced on your time,KU Leuven University,Mia Leijssen-Siebrecht Vanhooren,Introductory,Humanities,English,English,49.0,12,6,8
417,Solid Waste Management,"7,668",Self-paced on your time,World Bank Group,OLC and SURR ,Introductory,Environmental Studies,English,English,5.0,6,2,3
418,Retail Fundamentals,"37,558",Self-paced on your time,Dartmouth College,Santiago Gallino-Antonio Moreno-Garcia,Intermediate,Business & Management,English,English,99.0,4,3,5
419,Greatest Unsolved Mysteries of the Universe,"93,965",Self-paced on your time,Australian National University,Brian Schmidt-Paul Francis,Intermediate,Physics,English,English,50.0,9,2,4
420,"Money Markets, Foreign Exchange and Time Value of Money","12,230",Self-paced on your time,NYIF,Jack Farmer-Chris Thomas,Introductory,Economics & Finance,English,English,199.0,4,1,2
421,Gestión de Contenidos Digitales y Marketing Turístico de Ciudad,"14,627",Self-paced on your time,Pontificia Universidad Javeriana,Hernán Restrepo-Mario Enrique Morales Rincón-Adriana Caicedo Caicedo-Omar Gamboa,Introductory,Communication,Español,Español,49.0,4,9,10
422,Designing the User Experience,"6,416",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Cait von Schnetlage,Introductory,Business & Management,English,English,199.0,4,2,3
423,Introduction to Bioconductor,"36,370",Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love-Vincent Carey,Intermediate,Data Analysis & Statistics,English,English,149.0,4,2,4
424,Connected Strategy,"10,355",Self-paced on your time,The Wharton School of the University of Pennsylvania,Nicolaj Siggelkow-Christian Terwiesch,Intermediate,Business & Management,English,English,199.0,6,2,4
425,Hybrid Vehicles,"18,294",Instructor-led on a course schedule,Chalmers University of Technology,Sven Andersson-Anders Grauers,Advanced,Engineering,English,English,249.0,6,10,20
426,First Nights - Handel's Messiah and Baroque Oratorio,"18,029",Self-paced on your time,Harvard University,Thomas Forrest Kelly,Introductory,Humanities,English,English,49.0,3,3,5
427,Statistical Inference and Modeling for High-throughput Experiments,"51,590",Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Intermediate,Data Analysis & Statistics,English,English,149.0,4,2,4
428,First Nights - Monteverdi’s L’Orfeo and the Birth of Opera,"13,300",Self-paced on your time,Harvard University,Thomas Forrest Kelly,Introductory,Humanities,English,English,49.0,3,3,5
429,18th-Century Opera: Handel & Mozart,"18,331",Self-paced on your time,Harvard University,Thomas Forrest Kelly,Introductory,Music,English,English,99.0,5,3,4
430,Introduction to video game development with Unity,"7,605",Self-paced on your time,Universitat Politècnica de Valencia,Jordi Linares Pellicer,Intermediate,Computer Science,English,English,50.0,6,3,4
431,Best Practices for Project Management Success,"46,610",Self-paced on your time,Rochester Institute of Technology,Leonie Fernandes,Intermediate,Business & Management,English,English,150.0,11,8,12
432,Fundamentos de la Tecnología Blockchain,"5,473",Self-paced on your time,Pontificia Universidad Javeriana,Juan Pablo Mejía Caicedo,Introductory,Economics & Finance,Español,Español,49.0,5,7,10
433,Información financiera y su análisis,"5,473",Self-paced on your time,Tecnológico de Monterrey,Iván Adolfo Valdovinos Hernández,Advanced,Economics & Finance,Español,Español,49.99,4,5,8
434,Coaching Skills for Learner-Centred Conversations,"8,089",Self-paced on your time,Imperial College London,Arti Maini,Introductory,Education & Teacher Training,English,English,49.0,4,1,2
435,Intellectual Property Law and Policy: Part 1,"43,993",Self-paced on your time,University of Pennsylvania,R. Polk Wagner,Intermediate,Law,English,English,169.0,6,2,3
436,Robotics,"68,199",Instructor-led on a course schedule,Columbia University,Matei Ciocarlie,Advanced,Computer Science,English,English,249.0,10,8,10
437,La gestion des ressources humaines,"6,824",Self-paced on your time,HEC Montréal,Richard Blain-Patrick Dubé,Introductory,Business & Management,Français,Français,99.0,7,1,2
438,Writing for Social Justice,"9,927",Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Introductory,Humanities,English,English,50.0,4,4,5
439,Steps in Japanese for Beginners1 Part2,"8,080",Self-paced on your time,Waseda University,Naoko Kinoshita,Introductory,Language,English,"English, 日本語",99.0,5,3,5
440,Case Studies in Functional Genomics,"26,850",Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love-Vincent Carey,Advanced,Data Analysis & Statistics,English,English,149.0,5,2,4
441,Essential Career Skills for Investment Banking and Finance,"11,655",Self-paced on your time,NYIF,Jerome Wong,Introductory,Business & Management,English,English,49.0,2,3,4
442,Data Structures and Software Design,"30,609",Self-paced on your time,University of Pennsylvania,Chris Murphy,Intermediate,Computer Science,English,English,149.0,4,8,10
443,Unconscious Bias: From Awareness to Action,"26,659",Self-paced on your time,Catalyst,Vandana Juneja,Introductory,Communication,English,English,49.0,3,1,2
444,Cybersecurity for Critical Urban Infrastructure,"5,306",Self-paced on your time,Massachusetts Institute of Technology,Dr. Lawrence Susskind-Jungwoo Chun-Gregory Falco-Daniel Weitzner,Advanced,Computer Science,English,English,100.0,4,3,5
445,"Agile Process, Project, and Program Controls","16,339",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",John Johnson,Advanced,Engineering,English,English,199.0,4,2,3
446,Risk Management in Development Projects,"13,263",Self-paced on your time,Inter-American Development Bank,Vanessa Sayos del Castillo-Santiago Fretes-Allan Quijano,Intermediate,Business & Management,English,English,25.0,10,2,3
447,"Pintura europea: Leonardo, Rembrandt, Goya","32,635",Self-paced on your time,Universidad Carlos III de Madrid,Alejandro Vergara,Introductory,Humanities,Español,Español,29.0,7,2,3
448,Risk & Return,"21,970",Self-paced on your time,Columbia University,Daniel Wolfenzon,Introductory,Business & Management,English,English,225.0,4,3,4
449,Project Management of Engineering Projects: Preparing for Success,"42,834",Instructor-led on a course schedule,Delft University of Technology,Hans L. M. Bakker-Marcel J. C. M. Hertogh-Marian G. C. Bosch-Rekveldt,Intermediate,Business & Management,English,English,99.0,10,4,6
450,Supply Chain Dynamics,"75,464",Instructor-led on a course schedule,Massachusetts Institute of Technology,Chris Caplice-Yossi Sheffi-Bruce Arntzen-Alexis Bateman,Advanced,Business & Management,English,English,299.0,13,8,12
451,AWS Developer: Building on AWS,"54,249",Self-paced on your time,Amazon Web Services,Russell Sayers-Heiwad Osman,Advanced,Computer Science,English,English,149.0,6,3,4
452,Financial Accounting Made Fun: Eliminating Your Fears,"36,787",Self-paced on your time,Babson College,Peter Wilson,Introductory,Business & Management,English,English,199.0,4,4,6
453,PredictionX: John Snow and the Cholera Epidemic of 1854,"17,713",Self-paced on your time,Harvard University,Alyssa Goodman,Introductory,History,English,English,25.0,1,3,5
454,Gestión de operaciones,"9,512",Self-paced on your time,Universidad Nacional de Córdoba,Fernando Perotti,Introductory,Business & Management,Español,"English, Español",119.0,6,5,7
455,Microeconomics & Business,"10,962",Self-paced on your time,Doane University,"Arinna Butler Roxa, MBA",Introductory,Economics & Finance,English,English,79.0,8,10,18
456,Inteligencia artificial: Chatbots sin programación,"5,001",Self-paced on your time,IBM,Antonio Cangiano,Introductory,Computer Science,Español,English,49.0,2,2,4
457,Diseño e innovación de modelo de negocios,"7,180",Self-paced on your time,Tecnológico de Monterrey,Luis Antonio Marquez-Heine,Advanced,Business & Management,Español,English,99.0,4,5,8
458,Unlocking Investment and Finance in Emerging Markets and Developing Economies (EMDEs),"29,171",Self-paced on your time,World Bank Group,Julius Gwyer-Demet Cabbar-Ian MacDonald-Sander Glas,Introductory,Economics & Finance,English,English,5.0,4,4,6
459,Business Communication,,Self-paced on your time,Rochester Institute of Technology,Andrea Hickerson-Keri Barone,Introductory,Communication,English,English,199.0,3,4,6
460,Gestão de riscos em projetos,"8,771",Self-paced on your time,Inter-American Development Bank,Vanessa Sayos del Castillo-Santiago Fretes-Tiago Pena Pereira,Intermediate,Business & Management,Português,Português,25.0,10,3,4
461,Vocal Recording Technology,"52,369",Self-paced on your time,Berklee College of Music,Prince Charles Alexander,Introductory,Engineering,English,English,49.0,6,5,6
462,Agua 2.0: empresas eficientes para el siglo XXI,,Self-paced on your time,Inter-American Development Bank,Sergio Campos-Corinne Cathala-Federico Pérez,Introductory,Business & Management,Español,Español,25.0,8,2,3
463,IoT Sensors and Devices,"33,072",Self-paced on your time,Curtin University,Iain Murray AM-Cesar Ortega-Sanchez,Introductory,Computer Science,English,English,199.0,5,4,6
464,Introducción a las tecnologías para la Educación,"31,533",Self-paced on your time,Universitat Politècnica de Valencia,Miguel Ferrando Bataller-Ignacio Despujol-Linda Castañeda Quintero,Introductory,Computer Science,Español,Español,49.0,5,3,4
465,Fundamentos de la guitarra eléctrica y acústica,"13,124",Self-paced on your time,Berklee College of Music,Thaddeus Hogarth,Introductory,Music,Español,Español,49.0,6,2,5
466,e-Learning on Digital Agriculture,"6,238",Self-paced on your time,World Bank Group,OLC and SURR ,Introductory,Environmental Studies,English,English,5.0,5,2,3
467,Exploring GraphQL: A Query Language for APIs,"9,503",Self-paced on your time,The Linux Foundation,Allison Colyer-Rohit Ravikoti,Introductory,Computer Science,English,English,149.0,7,1,2
468,EmSAT English Preparation - Level 2,"7,346",Self-paced on your time,United Arab Emirates University,Kevin Rooney,Intermediate,Language,English,English,49.0,6,2,3
469,The Data Science Method,"7,868",Self-paced on your time,IBM,Alex Aklson,Introductory,Data Analysis & Statistics,English,English,39.0,7,3,7
470,"Plato, Socrates, and the Birth of Western Philosophy | 西方哲学精神探源","21,291",Self-paced on your time,Tsinghua University,Xiaochao Wang,Introductory,Humanities,English,"English, 中文",49.0,16,1,3
471,"Cosmic Rays, Dark Matter, and the Mysteries of the Universe","12,888",Self-paced on your time,Waseda University,Shoji Torii-Holger Motz,Intermediate,Physics,English,English,49.0,4,3,5
472,Macroeconomic Diagnostics,"23,408",Self-paced on your time,The International Monetary Fund,Dimitre Milkov-Evan Tanner-Adolfo Barajas-Maksym Ivanyna,Intermediate,Economics & Finance,English,English,25.0,6,6,8
473,BioStatistics,"14,937",Self-paced on your time,Doane University,Michael Kangas,Introductory,Biology & Life Sciences,English,English,79.0,8,5,10
474,Results-Based Project Management: Monitoring and Evaluation,"32,810",Self-paced on your time,Wits University,Kieron Crawley-Candice Morkel-Takunda Chirau,Intermediate,Business & Management,English,English,199.0,8,3,4
475,Estrategias y estilos de negociación,"12,639",Self-paced on your time,Tecnológico de Monterrey,Daniel Meade Monteverde-Luz María Vargas Reguer,Introductory,Business & Management,Español,English,149.0,4,5,8
476,Políticas efectivas de desarrollo infantil,"64,387",Self-paced on your time,Inter-American Development Bank,Florencia Lopez Boo,Intermediate,Social Sciences,Español,"English, Español, Português",25.0,10,4,5
